16-Feb-2025,Sunday,British Airways A,British Airways B,Kings CC,Noida Cridators,Garun XI,Delhi Renegades (Bankers XI),Titans United,The Eleven Fighting,PV rockers,DGH,RBCC,Mosh Army,MOT,Indian Smashers Club,,,,
17-Feb-2025,Monday,,,,,,,,,,,,,,,,,,
18-Feb-2025,Tuesday,,,,,,,,,,,,,,,,,,
19-Feb-2025,Wednesday,,,,,,,,,,,,,,,,,,
20-Feb-2025,Thursday,,,,,,,,,,,,,,,,,,
21-Feb-2025,Friday,,,SSSI A,SSSI B,SSSI A,SSSI B,,,,,,,,,,,,
22-Feb-2025,Saturday,Successive,Dhurandar XI,Titans United ,Gedu Titans,Semicon A,Semicon B,Phoenix,Challengers,Indian Warrior,Mosh Army,Full Track AI A,Full Track AI B,Full Track AI A,Full Track AI B,Yuva Yoddha,Vishu Team,,
23-Feb-2025,Sunday,MOT,Giju XI,Abhishek tennis A,Abhishek tennis B,,,Delhi Dominatrix,The Eleven Fighting,Kings CC,The Cricketing Titans,Ground Booked for time slot 02:00 to 06:00 PM,,,,,,,
24-Feb-2025,Monday,,,,,,,,,,,,,,,,,,
25-Feb-2025,Tuesday,,,,,,,,,,,,,,,,,,
26-Feb-2025,Wednesday,,,,,,,,,,,,,,,,,,
27-Feb-2025,Thursday,,,,,,,,,,,,,,,,,,
28-Feb-2025,Friday,,,,,,,,,,,,,,,Z star cc,Bleed blue Cricket,,
1-Mar-2025,Saturday,,,,,,,,,,,,,Indian Warriors,Mosh Army,Yuva Yoddha,Challengers,,
2-Mar-2025,Sunday,Indian Smashers Club,The Eleven Fighting,Delhi Dominators,Delhi Renegades,Tierra Strikers,Giju XI,Ground 2 Booked from 07 AM to 04 PM for ABP News event,,,,,,Full Track AI,,,,,
3-Mar-2025,Monday,,,,,,,,,,,,,,,,,,
4-Mar-2025,Tuesday,,,,,,,,,,,,,,,,,,
5-Mar-2025,Wednesday,,,,,,,,,,,,,,,,,,
6-Mar-2025,Thursday,,,,,,,,,,,,,,,,,,
7-Mar-2025,Friday,,,,,,,,,,,,,BBC,SE Challengers,Woodsmen XI,Night Riderz,,
8-Mar-2025,Saturday,Phoenix XI,DGH XI,Challengers,Assasins,,,Indian Smashers Club,Mighty Demons,,,,,Gedu Titans,Tierra Strikers,Yuva Yoddha,Vishu Team,,
9-Mar-2025,Sunday,Crigineera,Apex Predators,,,,,,,Abhishek Tennis A,Abhishek Tennis B,,,,,,,,
10-Mar-2025,Monday,,,,,,,,,,,,,,,,,,
11-Mar-2025,Tuesday,,,,,,,,,,,,,,,,,,
12-Mar-2025,Wednesday,,,,,,,,,,,,,,,,,,
13-Mar-2025,Thursday,,,,,,,,,,,,,,,,,,
14-Mar-2025,Friday,,,,,,,,,,,,,,,,,,
15-Mar-2025,Saturday,,,,,,,Delhi Dominators,Delhi Dominatrix,,,,,Indian Warriors,Skyhawks,,,,
16-Mar-2025,Sunday,Challengers ,Indian smashers,,,,,Giju Eleven,Pv rockers,,,,,Ajnara Strikers,Game Changers,MOT,Titans,,
17-Mar-2025,Monday,,,,,,,,,,,,,,,,,,
18-Mar-2025,Tuesday,,,,,,,,,,,,,,,,,,
19-Mar-2025,Wednesday,Bleed blue 11,Noida falcons,,,,,,,,,,,,,Bhagwa XI,Bleed blue 11,DG - 150 ltr,
20-Mar-2025,Thursday,,,,,,,,,,,,,,,Classic Cricket Club,Bleed blue 11,,
21-Mar-2025,Friday,,,,,,,,,,,,,Samsung A ,Samsung B,Booked both teams,,,
22-Mar-2025,Saturday,,,Mighty Demons,Gedu Titans,Mediatek ,Siemens,,,Full Track AI A,Full Track AI B,Milak Duhai Om Fir,Kasganj Police,Indian Warriors,Delhi Renegades,DMS SPORTS,One XI,,
23-Mar-2025,Sunday,Spartans (TTCC),Zeal Cricket Club,,,,,Delhi Dominatrix,Noida Cridators,,,,,DGH,Challengers,Bhagwa XI,Bleed blue 11,DG - 134 ltr,
24-Mar-2025,Monday,,,,,,,,,,,,,,,,,,
25-Mar-2025,Tuesday,,,,,,,,,,,,,,,,,,
26-Mar-2025,Wednesday,,,,,,,,,,,,,,,,,,
27-Mar-2025,Thursday,,,,,,,,,,,,,,,Classic Cricket Club,BCC,,
28-Mar-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,Booking for 02 teams w/o umpire,,,
29-Mar-2025,Saturday,,,Semicon A,Semicon B,,,Full Track A,Full Track B,,,,,Indian Warriors,RBCC,One XI,Titans United,,
30-Mar-2025,Sunday,New Bharat Club,NDTV,NNR,DGH,,,Noida Falcons,Dark horses,Successive,Skyhawks,,,Delhi Dominators,Game Changers,Giju XI,Indian smasher club,,
31-Mar-2025,Monday,,,,,,,,,,,,,,,,,,
1-Apr-2025,Tuesday,,,,,,,,,,,,,,,,,,
2-Apr-2025,Wednesday,,,,,,,,,,,,,,,Classic Cricket Club,Zikka XI,,
3-Apr-2025,Thursday,,,,,,,,,,,,,,,Elite Warriors,Zikka XI,,
4-Apr-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,Woodsmen XI,Bhagwa XI,woodsmen xi ,5k without refreshment
5-Apr-2025,Saturday,Strikerz,Noida Falcons,,,Semicon A,Semicon B,Kings CC,Delhi Dominatrix,,,,,Zikka XI,Nexus Knights,Metrol A,Metrol B,Metrol A and B,13k with refreshment
6-Apr-2025,Sunday,British Airways,NDTV,,,NNR,Bleed Blue,MOT,Mighty Demon,Tennis Real OG,Tennis ACh 11,,,One XI,The Eleven Fighting,Paras Strikers,Bhagwa XI,,
7-Apr-2025,Monday,,,,,,,,,,,,,,,Fairfox Tigers,Fairfox Lions,8.5k Without refreshment,
8-Apr-2025,Tuesday,,,,,,,,,,,,,Gutki,Pingu,Metrol Team OG,Metrol Defaulters,,13k with refreshment
9-Apr-2025,Wednesday,,,,,,,,,,,,,,,Sunriders Club,Sunriders Club,06:30 PM Start,
10-Apr-2025,Thursday,,,,,,,,,,,,,,,Classic Cricket Club,KNIT,,
11-Apr-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,Cube Highways A,Cube Highways B,Pole fall,
12-Apr-2025,Saturday,Garun 11,Skyhawks,,,,,Nexus Knight,Challengers,,,,,One XI,Assassins,Rising Stars,Red wings,,
13-Apr-2025,Sunday,Khan Smart Club A,Khan Smart Club B,,,Delhi Dominators,Oasis,Dark Horses,Strikers,,,,,The Eleven Fighting,Giju XI,,,,
14-Apr-2025,Monday,,,,,,,,,,,,,,,,,,
15-Apr-2025,Tuesday,,,,,,,,,,,,,,,Metrol Team OG,Metrol Defaulters,,
16-Apr-2025,Wednesday,,,,,,,,,,,,,,,Falcons,Classic Cricket Club,,
17-Apr-2025,Thursday,,,,,,,,,,,,,Samsung A,Samsung B,,,,
18-Apr-2025,Friday,,,,,,,,,,,,,,,Cube Highways,Cube Highways,,
19-Apr-2025,Saturday,,,,,,,,,,,,,Kings CC,Dhurandhar XI,One XI,Mighty Demon,,
20-Apr-2025,Sunday,Delhi Dominators,Dark Horses,,,Zikka XI,Vikings & Hurricanes CC,Abhishek tennis ,Abhishek Tennis,,,,,NNR,BBC/DGH,,Smart Cricket Club,,
21-Apr-2025,Monday,,,,,,,,,,,,,,,Team Elite A,Team Elite B,,
22-Apr-2025,Tuesday,,,,,,,,,,,,,,,,,,
23-Apr-2025,Wednesday,,,,,,,,,,,,,,,,,,
24-Apr-2025,Thursday,,,,,,,,,,,,,,,,,,
25-Apr-2025,Friday,,,,,,,,,,,,,,,,,,
26-Apr-2025,Saturday,,,,,,,,,,,,,Cricket Dabblers,LC XI,,,Cricket Dabblers Rs 11K with 02 trophies (without refreshment),
27-Apr-2025,Sunday,,Indian Smashers Club,,,Challengers,Hit Machine,,,,,One XI,MOT,Noida Falcons,Delhi Renegades,,,,
28-Apr-2025,Monday,,,,,,,,,,,,,,,,,,
29-Apr-2025,Tuesday,,,,,,,,,,,,,,,,,,
30-Apr-2025,Wednesday,,,,,,,,,,,,,,,,,,
1-May-2025,Thursday,,,,,,,,,,,,,,,,,,
2-May-2025,Friday,,,,,,,,,,,,,,,,,,
3-May-2025,Saturday,,,,,,,,,,,,,Fulltrack Ai,Fulltrack Ai,,,,
4-May-2025,Sunday,,,,,,,,,,,,,,,,,,
5-May-2025,Monday,,,,,,,,,,,,,,,,,,
6-May-2025,Tuesday,,,,,,,,,,,,,,,,,,
7-May-2025,Wednesday,,,,,,,,,,,,,,,,,,
8-May-2025,Thursday,,,,,,,,,,,,,,,,,,
9-May-2025,Friday,,,,,,,,,,,,,,,,,,
10-May-2025,Saturday,,,,,,,,,,,,,,,,,,
11-May-2025,Sunday,,,,,,,,,,,,,,,,,,
12-May-2025,Monday,,,,,,,,,,,,,,,,,,
13-May-2025,Tuesday,,,,,,,,,,,,,,,,,,
14-May-2025,Wednesday,,,,,,,,,,,,,,,,,,
15-May-2025,Thursday,,,,,,,,,,,,,,,,,,
16-May-2025,Friday,,,,,,,,,,,,,,,,,,
17-May-2025,Saturday,,,,,,,,,,,,,,,,,,
18-May-2025,Sunday,,,,,,,,,,,,,,,,,,
19-May-2025,Monday,,,,,,,,,,,,,,,,,,
20-May-2025,Tuesday,,,,,,,,,,,,,,,,,,
21-May-2025,Wednesday,,,,,,,,,,,,,,,,,,
22-May-2025,Thursday,,,,,,,,,,,,,,,,,,
23-May-2025,Friday,,,,,,,,,,,,,,,,,,
24-May-2025,Saturday,,,,,,,,,,,,,,,,,,
25-May-2025,Sunday,,,,,,,,,,,,,,,,,,
26-May-2025,Monday,,,,,,,,,,,,,,,,,,
27-May-2025,Tuesday,,,,,,,,,,,,,,,,,,
28-May-2025,Wednesday,,,,,,,,,,,,,,,,,,
29-May-2025,Thursday,,,,,,,,,,,,,,,,,,
30-May-2025,Friday,,,,,,,,,,,,,,,,,,
31-May-2025,Saturday,,,,,,,,,,,,,,,,,,
1-Jun-2025,Sunday,,,,,,,,,,,,,,,,,,
2-Jun-2025,Monday,,,,,,,,,,,,,,,,,,
3-Jun-2025,Tuesday,,,,,,,,,,,,,,,,,,
4-Jun-2025,Wednesday,,,,,,,,,,,,,,,,,,
5-Jun-2025,Thursday,,,,,,,,,,,,,,,,,,
6-Jun-2025,Friday,,,,,,,,,,,,,,,,,,
7-Jun-2025,Saturday,,,,,,,,,,,,,,,,,,
8-Jun-2025,Sunday,,,,,,,,,,,,,,,,,,
9-Jun-2025,Monday,,,,,,,,,,,,,,,,,,
10-Jun-2025,Tuesday,,,,,,,,,,,,,,,,,,
11-Jun-2025,Wednesday,,,,,,,,,,,,,,,,,,
12-Jun-2025,Thursday,,,,,,,,,,,,,,,,,,
13-Jun-2025,Friday,,,,,,,,,,,,,,,,,,
14-Jun-2025,Saturday,,,,,,,,,,,,,,,,,,
15-Jun-2025,Sunday,,,,,,,,,,,,,,,,,,
16-Jun-2025,Monday,,,,,,,,,,,,,,,,,,
17-Jun-2025,Tuesday,,,,,,,,,,,,,,,,,,
18-Jun-2025,Wednesday,,,,,,,,,,,,,,,,,,
19-Jun-2025,Thursday,,,,,,,,,,,,,,,,,,
20-Jun-2025,Friday,,,,,,,,,,,,,,,,,,
21-Jun-2025,Saturday,,,,,,,,,,,,,,,,,,
